"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,person_information,,text,"Record ID",,,,,,,,,,,,,
active_y,person_information,,radio,"<div style=""color:black; text-align:center; border: 1px #d35400; background-color: #e67e22; padding:6px; max-width:800px;"">Active User Account?</div>","1, Yes | 0, No",,,,,,,y,RH,,,," @HIDDEN-SURVEY"
inactive_d,person_information,,text,"Inactive date",,,datetime_seconds_ymd,,,,"[active_y] = '0'",,,,,,
user_surveyheader,person_information,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">New User Information</h3></div>",,,,,,,,,,,,," @HIDDEN-FORM"
user_formheader,person_information,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">Required User Information</h3></div>",,,,,,,,,,,,," @HIDDEN-SURVEY"
firstname,person_information,,text,"First name",,,,,,,,y,,,,,
lastname,person_information,,text,"Last name",,,,,,,,y,,,,,
email,person_information,,text,"Email address",,,email,,,,,y,,,,,
person_region,person_information,,sql,"Research Group","SELECT a.record,   CONCAT(   max(if(a.field_name = 'region_name', a.value, NULL)),    ' (',   max(if(a.field_name = 'region_code', a.value, NULL)),   ') ' ) as value  FROM redcap_data a  WHERE a.project_id=2127  GROUP BY a.record  ORDER BY value",,autocomplete,,,,,y,,,,,
useraccess_header,person_information,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">Hub Access</h3></div>",,,,,,,,,,,,,
harmonist_regperm,person_information,,radio,"Hub Permissions
<div style=""font-weight:lighter;font-style:italic"">What permissions should this user have on the Hub?</div>","0, No Access | 1, View-only access | 2, Submit comments for the research group (key investigator access) | 3, Vote for the research group (PI-level access)",,,,,,,y,,,,,
admin_notes,person_information,,notes,"Admin notes on User Account",,,,,,,,,LV,,,," @HIDDEN-SURVEY"
requestor_name,person_information,"Who is making this New User Request?",text,"Your name",,,,,,,,,,,,,
userrequest_detail,person_information,,notes,"Additional detail about the request",,,,,,,,,,,,,
securedata_txt,harmonist_permissions,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">Secure Data Access</h3></div>",,,,,,,,,,,,,
allowgetdata_y,harmonist_permissions,,checkbox,"Allow user to download secure data
<div style=""font-weight:lighter;font-style:italic"">If this option is selected, the user will be included in a list of people who can be given access to download patient-level data for specified concept sheets.</div>","1,",,,,,,,,,,,,
redcap_name,harmonist_permissions,,text,"REDCap username",,,,,,,,,,,,,
harmonist_txt,harmonist_permissions,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">Harmonist Access</h3></div>",,,,,,,,,,,,,
harmonistadmin_y,harmonist_permissions,,yesno,"Hub System Admin",,,,,,,,,,,,," @DEFAULT='0'"
harmonist_perms,harmonist_permissions,,checkbox,"Permissions for regular users","1, Edit/finalize data requests | 2, Create new concept sheets | 3, Edit concept sheets | 4, Edit requests | 5, Upload file revisions | 6, Edit the data model ('Harmonist 0' Projects) | 7, Edit Deadlines & Events (Home page) | 8, Edit Site Census project | 9, Add news items | 10, Edit publications",,,,,,,,,,,,
blockedfields,user_profile,,descriptive,"<span style=""font-weight:lighter; font-style:italic""> These fields are only editable by an Hub Admin. Please contact your Hub Admin if you need a change to these fields.</span>
Email: <span style=""font-weight:lighter"">[email]</span>
REDCap username (optional): <span style=""font-weight:lighter"">[redcap_name]</span>
Active account?: <span style=""font-weight:lighter"">[active_y]</span>
Assigned Research Group: <span style=""font-weight:lighter"">[person_region]</span>
Access level: <span style=""font-weight:lighter"">[harmonist_regperm]</span>",,,,,,,,,,,,,
userfields_txt,user_profile,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">User Fields</h3></div>",,,,,,,,,,,,,
pubname,user_profile,,text,"Full Name <u>as preferred for publication</u>
<span style=""font-weight:lighter; font-style:italic"">Include middle initial if used</span>",,,,,,,,,,,,,
